timestamps,open,high,low,close,volume
2026-03-15 15:00:00,87.98,88.12,87.77,87.9,29254.385
2026-03-15 16:00:00,87.9,88.05,87.45,87.55,46110.269
2026-03-15 17:00:00,87.55,88.8,87.5,88.43,62720.93
2026-03-15 18:00:00,88.44,88.69,87.85,87.92,101328.805
2026-03-15 19:00:00,87.92,88.29,87.82,88.19,55175.366
2026-03-15 20:00:00,88.19,89.0,87.98,88.76,84397.3
2026-03-15 21:00:00,88.76,90.3,88.56,90.0,162489.769
2026-03-15 22:00:00,90.0,92.93,89.84,92.64,658611.089
2026-03-15 23:00:00,92.65,93.23,91.61,92.3,437830.127
2026-03-16 00:00:00,92.31,93.06,91.88,92.01,259086.705
2026-03-16 01:00:00,92.02,92.25,91.49,92.11,180226.11
2026-03-16 02:00:00,92.11,92.28,91.18,91.48,116121.238
2026-03-16 03:00:00,91.48,94.0,91.27,93.16,458891.09
2026-03-16 04:00:00,93.17,94.24,92.94,93.62,312953.898
2026-03-16 05:00:00,93.63,94.32,93.21,94.04,292011.033
2026-03-16 06:00:00,94.05,94.05,93.15,93.4,224747.841
2026-03-16 07:00:00,93.41,93.86,93.32,93.56,145371.565
2026-03-16 08:00:00,93.56,94.02,92.57,92.86,167100.649
2026-03-16 09:00:00,92.86,93.47,92.73,93.29,97496.348
2026-03-16 10:00:00,93.3,93.96,93.26,93.9,109568.569
2026-03-16 11:00:00,93.9,93.99,93.53,93.75,78824.842
2026-03-16 12:00:00,93.75,94.2,93.4,93.77,226479.987
2026-03-16 13:00:00,93.78,95.13,93.43,93.68,390863.053
2026-03-16 14:00:00,93.68,94.54,92.37,93.6,521940.608
2026-03-16 15:00:00,93.61,94.35,93.09,93.2,384587.906
2026-03-16 16:00:00,93.2,94.06,93.13,93.81,248258.917
2026-03-16 17:00:00,93.82,94.4,93.7,94.08,150409.15
2026-03-16 18:00:00,94.08,95.09,94.05,94.38,226550.375
2026-03-16 19:00:00,94.39,95.48,94.16,95.21,207797.032
2026-03-16 20:00:00,95.21,95.97,95.06,95.78,158562.836
2026-03-16 21:00:00,95.77,96.88,95.5,96.17,233033.253
2026-03-16 22:00:00,96.17,97.68,96.17,96.37,244973.655
2026-03-16 23:00:00,96.36,96.47,95.41,96.2,185793.961
2026-03-17 00:00:00,96.19,96.95,95.13,95.49,283437.372
2026-03-17 01:00:00,95.49,96.09,94.95,95.72,222433.889
2026-03-17 02:00:00,95.72,95.77,94.88,95.15,103613.227
2026-03-17 03:00:00,95.14,95.29,93.71,94.07,214697.28
2026-03-17 04:00:00,94.07,94.28,93.2,93.8,138298.247
2026-03-17 05:00:00,93.8,94.1,93.36,93.8,82496.31
2026-03-17 06:00:00,93.8,94.3,93.47,93.89,90874.811
2026-03-17 07:00:00,93.9,94.66,93.87,94.44,78265.31
2026-03-17 08:00:00,94.43,94.95,94.29,94.41,84102.321
2026-03-17 09:00:00,94.41,95.09,93.69,93.9,150777.279
2026-03-17 10:00:00,93.9,94.06,93.25,93.57,96721.233
2026-03-17 11:00:00,93.58,93.91,93.4,93.66,82684.117
2026-03-17 12:00:00,93.67,94.08,93.15,93.42,82757.453
2026-03-17 13:00:00,93.41,94.56,93.35,93.8,149522.224
2026-03-17 14:00:00,93.8,94.68,93.5,94.5,123788.354
2026-03-17 15:00:00,94.5,95.13,93.25,93.82,167269.698
2026-03-17 16:00:00,93.82,94.79,93.72,94.39,111228.548
2026-03-17 17:00:00,94.39,94.72,94.15,94.57,73681.594
2026-03-17 18:00:00,94.57,95.59,94.45,95.32,111610.271
2026-03-17 19:00:00,95.33,95.57,94.61,94.67,99645.456
2026-03-17 20:00:00,94.66,95.03,94.41,94.9,57213.595
2026-03-17 21:00:00,94.89,95.46,94.84,95.26,47584.894
2026-03-17 22:00:00,95.27,95.62,94.59,95.33,114073.088
2026-03-17 23:00:00,95.32,95.44,94.58,94.62,66781.015
2026-03-18 00:00:00,94.61,94.93,94.1,94.53,83553.595
2026-03-18 01:00:00,94.54,94.93,94.32,94.43,53801.001
2026-03-18 02:00:00,94.43,95.23,94.41,94.94,60158.536
2026-03-18 03:00:00,94.94,95.65,94.82,95.05,57186.508
2026-03-18 04:00:00,95.06,95.12,94.0,94.13,122330.349
2026-03-18 05:00:00,94.13,94.39,93.72,93.92,94114.902
2026-03-18 06:00:00,93.92,94.64,93.92,94.21,32296.467
2026-03-18 07:00:00,94.22,94.3,93.83,93.95,77208.886
2026-03-18 08:00:00,93.95,94.26,93.94,94.04,143876.437
2026-03-18 09:00:00,94.04,94.44,93.95,94.28,41873.834
2026-03-18 10:00:00,94.28,94.43,93.51,93.86,61539.605
2026-03-18 11:00:00,93.85,94.08,91.82,92.0,398489.14
2026-03-18 12:00:00,92.0,92.03,90.31,90.43,329039.565
2026-03-18 13:00:00,90.43,90.75,89.9,90.32,224420.912
2026-03-18 14:00:00,90.32,90.4,88.85,88.96,316126.804
2026-03-18 15:00:00,88.95,89.49,88.55,89.37,252007.921
2026-03-18 16:00:00,89.36,89.36,88.61,88.97,152656.968
2026-03-18 17:00:00,88.97,90.36,88.83,89.94,223980.805
2026-03-18 18:00:00,89.94,90.86,89.38,89.58,185763.514
2026-03-18 19:00:00,89.58,90.07,89.44,89.71,72107.455
2026-03-18 20:00:00,89.7,90.13,88.99,89.99,109988.962
2026-03-18 21:00:00,89.99,90.62,89.94,90.47,62582.031
2026-03-18 22:00:00,90.46,90.48,89.92,90.02,90116.209
2026-03-18 23:00:00,90.02,90.16,89.69,90.08,48641.152
2026-03-19 00:00:00,90.07,90.3,89.82,90.11,46120.613
2026-03-19 01:00:00,90.11,90.38,89.92,90.19,48869.649
2026-03-19 02:00:00,90.18,90.39,89.79,89.99,37552.218
2026-03-19 03:00:00,89.99,91.41,89.92,90.74,139276.39
2026-03-19 04:00:00,90.74,90.74,89.75,89.91,110340.258
2026-03-19 05:00:00,89.91,90.11,89.66,89.76,59591.973
2026-03-19 06:00:00,89.77,90.12,89.52,89.86,75452.788
2026-03-19 07:00:00,89.87,90.05,88.63,89.42,202158.079
2026-03-19 08:00:00,89.41,89.64,89.09,89.34,75679.599
2026-03-19 09:00:00,89.35,90.39,89.17,90.2,143688.439
2026-03-19 10:00:00,90.19,90.48,89.78,89.81,76729.913
2026-03-19 11:00:00,89.81,90.03,89.47,89.62,52020.688
2026-03-19 12:00:00,89.62,89.62,88.03,88.11,163403.702
2026-03-19 13:00:00,88.11,88.74,87.55,88.52,300882.59
2026-03-19 14:00:00,88.52,88.9,87.45,88.23,135406.721
2026-03-19 15:00:00,88.23,88.76,87.15,87.63,169527.342
2026-03-19 16:00:00,87.63,87.8,87.0,87.69,152916.464
2026-03-19 17:00:00,87.68,88.35,87.07,88.14,125746.156
2026-03-19 18:00:00,88.13,88.32,87.66,88.13,71688.212
2026-03-19 19:00:00,88.13,89.26,88.12,88.72,171099.084
2026-03-19 20:00:00,88.71,89.21,88.66,88.99,47285.133
2026-03-19 21:00:00,88.98,89.32,88.88,89.11,50451.599
2026-03-19 22:00:00,89.12,89.17,88.37,88.76,67142.826
2026-03-19 23:00:00,88.77,89.19,88.59,88.89,86512.488
2026-03-20 00:00:00,88.9,89.43,88.87,89.41,115517.781
2026-03-20 01:00:00,89.41,89.8,89.33,89.47,86311.253
2026-03-20 02:00:00,89.47,89.6,88.88,89.31,76719.431
2026-03-20 03:00:00,89.31,89.71,89.24,89.57,46905.05
2026-03-20 04:00:00,89.57,89.75,88.73,89.28,58282.758
2026-03-20 05:00:00,89.28,89.55,88.87,89.36,85138.884
2026-03-20 06:00:00,89.36,89.36,88.94,89.09,50121.692
