timestamps,open,high,low,close,volume
2026-03-01 21:00:00,0.09089,0.09217,0.09085,0.09199,28550025.0
2026-03-01 22:00:00,0.09199,0.09348,0.09177,0.09187,52554548.0
2026-03-01 23:00:00,0.09186,0.09299,0.09168,0.0919,15872502.0
2026-03-02 00:00:00,0.0919,0.09343,0.09184,0.09304,23917935.0
2026-03-02 01:00:00,0.09304,0.09448,0.09294,0.09331,32090402.0
2026-03-02 02:00:00,0.09332,0.09367,0.09254,0.09271,32562760.0
2026-03-02 03:00:00,0.09271,0.09356,0.09241,0.09327,23371717.0
2026-03-02 04:00:00,0.09328,0.09354,0.09294,0.0932,16266663.0
2026-03-02 05:00:00,0.0932,0.09354,0.09273,0.09302,12477815.0
2026-03-02 06:00:00,0.09302,0.09302,0.09161,0.09203,24452967.0
2026-03-02 07:00:00,0.09202,0.09208,0.09117,0.09174,13763468.0
2026-03-02 08:00:00,0.09175,0.09245,0.09132,0.09231,22203702.0
2026-03-02 09:00:00,0.09231,0.09297,0.09205,0.09205,18959759.0
2026-03-02 10:00:00,0.09205,0.0923,0.09161,0.0919,18792438.0
2026-03-02 11:00:00,0.0919,0.0922,0.09146,0.09185,21065305.0
2026-03-02 12:00:00,0.09185,0.09204,0.09125,0.09142,17055686.0
2026-03-02 13:00:00,0.09142,0.0917,0.09081,0.09095,29513978.0
2026-03-02 14:00:00,0.09095,0.0939,0.0908,0.09359,66925700.0
2026-03-02 15:00:00,0.09359,0.09664,0.09335,0.09567,183554083.0
2026-03-02 16:00:00,0.09568,0.09771,0.09545,0.09624,121900399.0
2026-03-02 17:00:00,0.09624,0.09648,0.09433,0.09543,73032626.0
2026-03-02 18:00:00,0.09543,0.09606,0.09459,0.0955,32316198.0
2026-03-02 19:00:00,0.09549,0.09586,0.09491,0.09553,31844820.0
2026-03-02 20:00:00,0.09552,0.096,0.09462,0.09465,25311981.0
2026-03-02 21:00:00,0.09466,0.0947,0.09395,0.09413,21152368.0
2026-03-02 22:00:00,0.09414,0.09505,0.09404,0.0948,43193081.0
2026-03-02 23:00:00,0.09481,0.09487,0.0933,0.09356,33937818.0
2026-03-03 00:00:00,0.09356,0.09378,0.09277,0.09353,27238684.0
2026-03-03 01:00:00,0.09352,0.09385,0.09284,0.0929,18055346.0
2026-03-03 02:00:00,0.09291,0.09297,0.09216,0.09261,30838319.0
2026-03-03 03:00:00,0.09261,0.09278,0.09209,0.09258,19054825.0
2026-03-03 04:00:00,0.09258,0.09263,0.0916,0.09175,17433769.0
2026-03-03 05:00:00,0.09174,0.09243,0.09124,0.09168,29563921.0
2026-03-03 06:00:00,0.09168,0.09182,0.09131,0.09167,23529068.0
2026-03-03 07:00:00,0.09168,0.09209,0.0911,0.09136,68482993.0
2026-03-03 08:00:00,0.09135,0.09158,0.08973,0.08995,85210658.0
2026-03-03 09:00:00,0.08996,0.09055,0.08951,0.08967,69029549.0
2026-03-03 10:00:00,0.08966,0.09009,0.08923,0.08986,44351416.0
2026-03-03 11:00:00,0.08987,0.09016,0.08963,0.09007,30686794.0
2026-03-03 12:00:00,0.09007,0.09109,0.08981,0.09043,53652130.0
2026-03-03 13:00:00,0.09043,0.09047,0.08962,0.08987,32550803.0
2026-03-03 14:00:00,0.08986,0.09099,0.08868,0.08935,92988570.0
2026-03-03 15:00:00,0.08934,0.09065,0.08874,0.09021,60615259.0
2026-03-03 16:00:00,0.0902,0.09242,0.08978,0.09091,103404661.0
2026-03-03 17:00:00,0.09091,0.09101,0.08946,0.09015,39641737.0
2026-03-03 18:00:00,0.09016,0.09063,0.0893,0.08979,36400998.0
2026-03-03 19:00:00,0.0898,0.08996,0.08912,0.08941,42659256.0
2026-03-03 20:00:00,0.08942,0.08947,0.08886,0.08913,30997960.0
2026-03-03 21:00:00,0.08912,0.08945,0.08847,0.08938,37749423.0
2026-03-03 22:00:00,0.08939,0.09063,0.08939,0.09019,33172644.0
2026-03-03 23:00:00,0.09018,0.09088,0.0899,0.08997,29935713.0
2026-03-04 00:00:00,0.08998,0.09019,0.08927,0.08983,26702987.0
2026-03-04 01:00:00,0.08984,0.09065,0.08952,0.08989,33975598.0
2026-03-04 02:00:00,0.08988,0.09017,0.08946,0.08994,30838420.0
2026-03-04 03:00:00,0.08994,0.09014,0.08859,0.08939,38699734.0
2026-03-04 04:00:00,0.08939,0.08983,0.08894,0.0893,21641506.0
2026-03-04 05:00:00,0.08929,0.08966,0.08872,0.08926,22503059.0
2026-03-04 06:00:00,0.08926,0.08978,0.08873,0.08922,30469536.0
2026-03-04 07:00:00,0.08922,0.09056,0.08887,0.09015,42471347.0
2026-03-04 08:00:00,0.09015,0.09259,0.08971,0.0923,120989046.0
2026-03-04 09:00:00,0.0923,0.09345,0.09195,0.09256,172277428.0
2026-03-04 10:00:00,0.09256,0.0933,0.09247,0.09303,76116223.0
2026-03-04 11:00:00,0.09304,0.09315,0.09192,0.0923,44988733.0
2026-03-04 12:00:00,0.09229,0.09266,0.09149,0.09242,46090122.0
2026-03-04 13:00:00,0.09242,0.09422,0.09235,0.09407,75117175.0
2026-03-04 14:00:00,0.09407,0.0961,0.09386,0.09524,206701915.0
2026-03-04 15:00:00,0.09525,0.09921,0.09523,0.09905,278767873.0
2026-03-04 16:00:00,0.09905,0.10003,0.09747,0.09961,188749769.0
2026-03-04 17:00:00,0.09961,0.10337,0.09951,0.10182,222842078.0
2026-03-04 18:00:00,0.10182,0.10245,0.10121,0.10217,98378271.0
2026-03-04 19:00:00,0.10217,0.10434,0.10189,0.10275,116064341.0
